Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Izea inc,IZEA,"",2687768.0,6854000.0,0.0002,0.0002,3406,425760.0,18.822215,addition,4.3446191,Q2 2016,INDUSTRIALS,"","",2.9876
Riverview bancorp inc,RVSB,"",961957.0,6821000.0,0.0002,0.0002,3407,-68160.0,-6.616724,reduction,4.3038203,Q1 2006,FINANCE,"","",6.13
Micro focus international plc,MFGP,"",903578.0,6804000.0,0.0002,0.0002,3408,0.0,0.0,,0.2692608,Q3 2017,INFORMATION TECHNOLOGY,"","",31.77
Kornit digital ltd,KRNT,"",54672.0,6797000.0,0.0002,0.0002,3409,-3776.0,-6.460443,reduction,0.1188816,Q3 2017,INFORMATION TECHNOLOGY,"","",52.36
Acres commercial realty corp,ACR,"",423025.0,6794000.0,0.0002,0.0002,3410,-116620.0,-21.610503,reduction,4.4889919,Q4 2006,REAL ESTATE,"","",339.31
Genie energy ltd,GNE,"",1074583.0,6791000.0,0.0002,0.0002,3411,-185524.0,-14.722877,reduction,4.3893246,Q4 2011,ENERGY,"","",7.92
Applied genetic technologies corp,AGTC,"",1735372.0,6785000.0,0.0002,0.0003,3412,-136437.0,-7.289045,reduction,4.0588947,Q2 2014,HEALTH CARE,"","",7.37
Twin disc inc.,TWIN,"",476578.0,6782000.0,0.0002,0.0001,3413,22994.0,5.069403,addition,3.4921517,Q3 2006,INDUSTRIALS,"","",20.7114
America movil s.a.b. de c.v. ads,AMX,"",451457.0,6771000.0,0.0002,0.0002,3414,10433.0,2.365631,addition,0.0201658,Q3 2020,UTILITIES AND TELECOMMUNICATIONS,"","",13.3686
County bancorp inc,ICBK,"",199126.0,6762000.0,0.0002,0.0001,3415,14587.0,7.904562,addition,3.3040373,Q1 2015,FINANCE,"","",23.4322
Sharps compliance corp,SMED,"",655583.0,6753000.0,0.0002,0.0003,3416,-18409.0,-2.731338,reduction,3.8205821,Q1 2011,HEALTH CARE,"","",6.09
Penns woods bancorp inc,PWOD,"",283283.0,6748000.0,0.0002,0.0002,3417,-22022.0,-7.213115,reduction,4.0096106,Q2 2005,FINANCE,"","",29.32
Pioneer bancorp inc,PBFS,"",560953.0,6743000.0,0.0002,0.0002,3418,1811.0,0.323889,addition,2.1593654,Q3 2019,FINANCE,"","",11.7907
Lee enterprises inc,LEE,"",238217.0,6741000.0,0.0002,0.0002,3419,7317.0,3.168904,addition,4.0451297,Q2 2002,COMMUNICATIONS,"","",-113.5548
Townsquare media inc,TSQ,"",527165.0,6721000.0,0.0002,0.0001,3420,112139.0,27.019753,addition,3.5923754,Q3 2014,COMMUNICATIONS,"","",9.7662
Synlogic inc,SYBX,"",1727371.0,6720000.0,0.0002,0.0001,3421,888009.0,105.795712,addition,3.2981894,Q4 2015,HEALTH CARE,"","",21.5143
Chemung financial corp,CHMG,"",151649.0,6719000.0,0.0002,0.0002,3422,-19441.0,-11.363025,reduction,3.2520072,Q3 2013,FINANCE,"","",40.32
Enel chile s.a. ads adr,ENIC,"",2271809.0,6702000.0,0.0002,0.0003,3423,-380747.0,-14.353967,reduction,0.1642274,Q2 2016,UTILITIES AND TELECOMMUNICATIONS,"","",6.04
Akoya biosciences inc,AKYA,"",344935.0,6671000.0,0.0002,,3424,344935.0,,new,0.9282796,Q2 2021,INFORMATION TECHNOLOGY,"","",19.34
Resonant inc,RESN,"",2075176.0,6661000.0,0.0002,0.0003,3425,-218775.0,-9.537039,reduction,3.2926638,Q4 2014,INDUSTRIALS,"","",2.82
Inmune bio inc,INMB,"",379168.0,6661000.0,0.0002,0.0001,3426,65948.0,21.05485,addition,2.1417453,Q3 2020,HEALTH CARE,"","",12.6631
Amerant bancorp inc,AMTBB,"",340910.0,6661000.0,0.0002,0.0002,3427,-69061.0,-16.845338,reduction,4.0243793,Q1 2021,FINANCE,"","",16.45
Pennsylvania real estate investmnt trust,PEI,"",2669741.0,6647000.0,0.0002,0.0001,3428,169834.0,6.793613,addition,3.3286329,Q2 2002,REAL ESTATE,"","",10.1496
F-star therapeutics inc,FSTX,"",773215.0,6642000.0,0.0002,0.0002,3429,244726.0,46.306735,addition,3.9926560,Q2 2017,HEALTH CARE,"","",11.7477
Aspen group inc,ASPU,"",1015694.0,6623000.0,0.0002,0.0002,3430,-99563.0,-8.927359,reduction,4.0517117,Q3 2017,CONSUMER DISCRETIONARY,"","",7.56
Pagseguro digital ltd,PAGS,"",118369.0,6619000.0,0.0002,0.0001,3431,18921.0,19.026024,addition,0.0587551,Q2 2018,FINANCE,"","",36.5713
Hepion pharmaceuticals inc,HEPA,"",3330741.0,6595000.0,0.0002,0.0002,3432,-455.0,-0.013659,reduction,4.3696035,Q4 2020,HEALTH CARE,"","",2.02
Contrafect corp,CFRX,"",1499118.0,6595000.0,0.0002,0.0002,3433,-106482.0,-6.631913,reduction,3.8113763,Q1 2015,HEALTH CARE,"","",22.68
Quotient ltd,QTNT,"",1811529.0,6593000.0,0.0002,0.0002,3434,-277698.0,-13.291902,reduction,1.7831919,Q2 2019,HEALTH CARE,"","",5.5
First northwest bancorp,FNWB,"",375460.0,6589000.0,0.0002,0.0002,3435,17813.0,4.980609,addition,3.6741803,Q1 2015,FINANCE,"","",13.8255
Surgalign holdings inc,SRGA,"",4738185.0,6586000.0,0.0002,0.0003,3436,-339123.0,-6.679189,reduction,4.2906143,Q2 2002,HEALTH CARE,"","",3.91
Icon plc ads,ICLR,"",31841.0,6582000.0,0.0002,0.0002,3437,1933.0,6.463154,addition,0.0400063,Q1 2014,HEALTH CARE,"","",129.9417
Unity biotechnology inc,UBX,"",1417933.0,6579000.0,0.0002,0.0003,3438,-165099.0,-10.42929,reduction,2.5731826,Q2 2018,HEALTH CARE,"","",10.09
Vanguard mega cap 300 index etf,MGC,"",43126.0,6570000.0,0.0002,0.0003,3439,-22879.0,-34.662526,reduction,No Data,Q4 2014,FINANCE,"","",133.05
Summit therapeutics ord shs,SMMT,"",879898.0,6564000.0,0.0002,0.0001,3440,330356.0,60.114786,addition,N/A,Q4 2020, ,"","",
Tenaris sa ads adr,TS,"",299510.0,6559000.0,0.0002,0.0002,3441,0.0,0.0,,0.0507413,Q3 2003,ENERGY,"","",34.31
United insurance holdings corp,UIHC,"",1150568.0,6558000.0,0.0002,0.0002,3442,-87123.0,-7.039156,reduction,2.6629315,Q2 2013,FINANCE,"","",16.12
Graham corp.,GHM,"",476551.0,6557000.0,0.0002,0.0002,3443,-67815.0,-12.457611,reduction,4.4564607,Q4 2007,INDUSTRIALS,"","",18.08
Cinedigm corp,CIDM,"",5079433.0,6553000.0,0.0002,0.0002,3444,346485.0,7.320702,addition,3.0270695,Q4 2009,INFORMATION TECHNOLOGY,"","",3.6101
Strongbridge biopharma plc,SBBP,"",2200172.0,6534000.0,0.0002,0.0002,3445,-114043.0,-4.927935,reduction,3.2437063,Q2 2019,HEALTH CARE,"","",2.3
Larimar therapeutics inc,LRMR,"",664370.0,6525000.0,0.0002,0.0002,3446,188834.0,39.709717,addition,3.7512881,Q3 2014,HEALTH CARE,"","",241.0709
Silvercrest asset management group inc,SAMG,"",433246.0,6516000.0,0.0002,0.0002,3447,-63306.0,-12.749118,reduction,4.4804214,Q3 2013,FINANCE,"","",13.41
Actinium pharmaceuticals inc,ATNM,"",819642.0,6483000.0,0.0002,0.0001,3448,247122.0,43.163907,addition,3.8424356,Q2 2014,HEALTH CARE,"","",162.5579
Viridian therapeutics inc,VRDN,"",354066.0,6476000.0,0.0002,0.0001,3449,185548.0,110.105745,addition,3.6931290,Q1 2015,HEALTH CARE,"","",921.1211
Computer task group  inc.,CTG,"",669076.0,6471000.0,0.0002,0.0001,3450,117145.0,21.224573,addition,4.3650483,Q2 2002,INFORMATION TECHNOLOGY,"","",6.4363
Nextcure inc,NXTC,"",805227.0,6466000.0,0.0002,0.0002,3451,-39056.0,-4.625937,reduction,2.9162682,Q2 2019,HEALTH CARE,"","",33.97
Bm technologies inc,BMTX,"",518011.0,6444000.0,0.0002,0.0002,3452,-9.0,-0.001737,reduction,4.2458867,Q1 2021,FINANCE,"","",11.65
Lsb industries inc,LXU,"",1380765.1,6426000.0,0.0002,0.0001,3453,101700.3,7.951145,addition,3.5053036,Q1 2007,MATERIALS,"","",16.2213
Scynexis inc,SCYX,"",872841.0,6424000.0,0.0002,0.0002,3454,6658.0,0.76866,addition,4.2307769,Q2 2014,HEALTH CARE,"","",11.6272
Gaiam inc,GAIA,"",583155.0,6409000.0,0.0002,0.0002,3455,-116051.0,-16.597541,reduction,4.1899378,Q2 2002,CONSUMER DISCRETIONARY,"","",11.48
Intellicheck inc,IDN,"",763884.0,6394000.0,0.0002,0.0002,3456,-88075.0,-10.337939,reduction,4.0867415,Q2 2002,INFORMATION TECHNOLOGY,"","",28.36
J. alexanders holdings inc,JAX,"",549181.0,6392000.0,0.0002,0.0001,3457,69466.0,14.480681,addition,3.6393519,Q3 2015,CONSUMER DISCRETIONARY,"","",10.1638
Enzo biochem inc.,ENZ,"",2010296.0,6373000.0,0.0002,0.0002,3458,-374913.0,-15.718245,reduction,4.1473541,Q2 2002,HEALTH CARE,"","",4.58
First western financial inc,MYFW,"",246161.0,6373000.0,0.0002,0.0002,3459,16589.0,7.226055,addition,3.0783832,Q3 2018,FINANCE,"","",17.4406
Evolution petroleum corp inc,EPM,"",1284833.0,6372000.0,0.0002,0.0001,3460,50477.0,4.089339,addition,3.8344694,Q1 2010,ENERGY,"","",8.1207
Gol linhas aereas inteligentes s.a. adr,GOL,"",690074.0,6362000.0,0.0002,0.0001,3461,38911.0,5.975616,addition,0.4390351,Q4 2010,TRANSPORTS,"","",10.9185
Gencor industries inc,GENC,"",522597.0,6355000.0,0.0002,0.0003,3462,-182424.0,-25.874974,reduction,4.2493306,Q2 2008,INDUSTRIALS,"","",11.29
Vanguard small-cap value etf,VBR,"",36580.0,6352000.0,0.0002,0.0002,3463,1177.0,3.324577,addition,No Data,Q1 2014,FINANCE,"","",142.5929
Wpcs intl inc,AYRO,"",1295938.0,6324000.0,0.0002,0.0001,3464,961525.0,287.526203,addition,3.6787108,Q4 2020,INFORMATION TECHNOLOGY,"","",6.19
Tecnoglass inc,TGLS,"",294800.0,6309000.0,0.0002,0.0001,3465,4412.0,1.519347,addition,0.6183564,Q1 2016,INDUSTRIALS,"","",8.8704
Westwater resources inc,WWR,"",1323924.0,6301000.0,0.0002,0.0002,3466,17039.0,1.303787,addition,3.8223859,Q4 2020,MATERIALS,"","",5.2832
Legacy housing corp,LEGH,"",372629.0,6301000.0,0.0002,0.0002,3467,-33424.0,-8.231438,reduction,1.5396219,Q1 2019,REAL ESTATE,"","",12.97
Mma capital holdings inc,MMAC,"",232027.0,6301000.0,0.0002,0.0001,3468,2954.0,1.289545,addition,No Data,Q1 2019,FINANCE,"","",29.7565
Ault global holdings inc,DPW,"",2230322.0,6290000.0,0.0002,0.0,3469,1930146.0,643.004771,addition,4.4808492,Q1 2021,INDUSTRIALS,"","",14.6786
Repro med systems inc,KRMD,"",1358412.0,6289000.0,0.0002,0.0002,3470,-352560.0,-20.605831,reduction,3.0518457,Q4 2019,HEALTH CARE,"","",6.81
Cabaletta bio  inc.,CABA,"",730199.0,6280000.0,0.0002,0.0002,3471,36314.0,5.233432,addition,2.9239738,Q4 2019,HEALTH CARE,"","",12.021
Stonemor partners lp,STON,"",2393867.0,6272000.0,0.0002,0.0001,3472,302792.0,14.480208,addition,2.0293046,Q3 2020,CONSUMER DISCRETIONARY,"","",1.1962
Galectin therapeutics inc,GALT,"",1953419.0,6252000.0,0.0002,0.0001,3473,21110.0,1.092475,addition,3.3624686,Q1 2013,HEALTH CARE,"","",5.3762
Bankfinancial corp,BFIN,"",545829.0,6244000.0,0.0002,0.0002,3474,2395.0,0.440716,addition,3.9471246,Q3 2005,FINANCE,"","",13.7598
Vincerx pharma inc,VINC,"",480058.0,6235000.0,0.0002,0.0002,3475,90069.0,23.095267,addition,2.7398890,Q1 2021,FINANCE,"","",18.1161
Neubase therapeutics ord shs,NBSE,"",1297848.0,6217000.0,0.0002,0.0002,3476,339017.0,35.357326,addition,N/A,Q3 2019, ,"","",
Genprex inc,GNPX,"",1851832.0,6204000.0,0.0002,0.0002,3477,-11161.0,-0.59909,reduction,3.9098104,Q2 2018,HEALTH CARE,"","",3.9
Startek inc.,SRT,"",868085.0,6189000.0,0.0002,0.0002,3478,-61878.0,-6.653813,reduction,2.1276938,Q2 2002,COMMUNICATIONS,"","",8.43
Malvern bancorp inc,MLVF,"",334751.0,6175000.0,0.0002,0.0002,3479,-59.0,-0.017622,reduction,4.3917229,Q3 2013,FINANCE,"","",18.96
Karat packaging inc,KRT,"",302358.0,6159000.0,0.0002,,3480,302358.0,,new,1.5340724,Q2 2021, ,"","",20.37
Catalyst biosciences inc,CBIO,"",1422331.0,6159000.0,0.0002,0.0002,3481,-110614.0,-7.215784,reduction,4.5346699,Q2 2008,HEALTH CARE,"","",17681.76
Calithera biosciences inc,CALA,"",2938187.0,6141000.0,0.0002,0.0002,3482,-764330.0,-20.643524,reduction,3.9643943,Q4 2014,HEALTH CARE,"","",7.0
Natural gas services group inc,NGS,"",596312.0,6130000.0,0.0002,0.0002,3483,-67327.0,-10.145124,reduction,4.3811058,Q1 2006,ENERGY,"","",18.3
Performant financial corp,PFMT,"",1630455.0,6114000.0,0.0002,0.0001,3484,376790.0,30.055079,addition,2.8908185,Q3 2012,INDUSTRIALS,"","",2.1122
Matinas biopharma holdings inc,MTNB,"",7872463.0,6100000.0,0.0002,0.0002,3485,20613.0,0.262524,addition,3.6660198,Q2 2017,HEALTH CARE,"","",1.0692
Tyme technologies inc,TYME,"",4835879.0,6093000.0,0.0002,0.0002,3486,-353128.0,-6.80531,reduction,2.8081797,Q4 2017,HEALTH CARE,"","",2.54
Eloxx pharmaceutic,SVOND,"",3055517.0,6081000.0,0.0002,0.0001,3487,1862820.0,156.185519,addition,N/A,Q2 2018, ,"","",
First capital  inc.,FCAP,"",140217.0,6080000.0,0.0002,0.0002,3488,-10501.0,-6.967316,reduction,4.1544768,Q4 2017,FINANCE,"","",63.97
Northern technologies international corp,NTIC,"",350026.0,6056000.0,0.0002,0.0001,3489,2222.0,0.638866,addition,3.8422760,Q2 2013,MATERIALS,"","",10.0762
Curevac n.v.,CVAC,"",82368.0,6053000.0,0.0002,0.0001,3490,44944.0,120.094057,addition,0.0440674,Q1 2021,HEALTH CARE,"","",81.6492
Casi pharmaceuticals inc,CASI,"",3904627.0,6053000.0,0.0002,0.0003,3491,-319067.0,-7.554217,reduction,No Data,Q2 2002,HEALTH CARE,"","",47.67
Qad inc,QADB,"",70201.0,6052000.0,0.0002,0.0001,3492,-773.0,-1.089131,reduction,2.1079368,Q4 2010,INFORMATION TECHNOLOGY,"","",21.13
Manning & napier inc.,MN,"",768903.0,6051000.0,0.0002,0.0001,3493,196801.0,34.399635,addition,4.5252031,Q4 2011,FINANCE,"","",4.7822
Gamco investors inc,GBL,"",240937.0,6047000.0,0.0002,0.0001,3494,-22093.0,-8.399422,reduction,2.9507699,Q2 2002,FINANCE,"","",27.01
Gan ltd,GAN,"",367767.0,6047000.0,0.0002,0.0002,3495,-11783.0,-3.104466,reduction,0.8754559,Q2 2020,INFORMATION TECHNOLOGY,"","",23.49
Talis biomedical corp,TLIS,"",544906.0,6011000.0,0.0001,0.0001,3496,154887.0,39.712681,addition,2.1210059,Q1 2021,HEALTH CARE,"","",12.3327
Vanguard s&p 500 value etf,VOOV,"",42124.0,6009000.0,0.0001,0.0001,3497,3000.0,7.667928,addition,No Data,Q4 2020,FINANCE,"","",126.0627
Ca bancorp,CALB,"",320703.0,5998000.0,0.0001,0.0002,3498,-25235.0,-7.29466,reduction,3.9069214,Q2 2020,FINANCE,"","",14.98
Servicesource international inc,SREV,"",4232091.0,5967000.0,0.0001,0.0002,3499,-291370.0,-6.441307,reduction,4.3239426,Q2 2011,INFORMATION TECHNOLOGY,"","",2.79
Kura sushi usa inc,KRUS,"",156733.0,5958000.0,0.0001,0.0001,3500,7219.0,4.82831,addition,1.8025755,Q3 2019,CONSUMER DISCRETIONARY,"","",21.1348
Vanguard value etf,VTV,"",43198.0,5938000.0,0.0001,0.0001,3501,4981.0,13.033467,addition,No Data,Q2 2004,FINANCE,"","",113.0778
Arlington asset inv class a,AAIC,"",1457476.0,5917000.0,0.0001,0.0002,3502,-260719.0,-15.174005,reduction,4.5079736,Q2 2002,REAL ESTATE,"","",19.14
Establishment labs holdings inc,ESTA,"",67704.0,5913000.0,0.0001,0.0001,3503,15158.0,28.847105,addition,0.2851973,Q2 2019,HEALTH CARE,"","",39.1201
Severn bancorp inc,SVBI,"",496647.0,5911000.0,0.0001,0.0002,3504,-2061.0,-0.413268,reduction,3.8624507,Q3 2012,FINANCE,"","",9.22
Prosight global inc,PROS,"",463139.0,5910000.0,0.0001,0.0002,3505,-19201.0,-3.980802,reduction,1.0578946,Q3 2019,FINANCE,"","",16.83
Middlefield banc corp,MBCN,"",250119.0,5903000.0,0.0001,0.0002,3506,-19409.0,-7.201107,reduction,4.0693650,Q2 2017,FINANCE,"","",24.86
Eagle bancorp montana inc,EBMT,"",256566.0,5901000.0,0.0001,0.0002,3507,-20319.0,-7.338426,reduction,3.7860004,Q4 2013,FINANCE,"","",18.51
Citizens community bancorp inc,CZWI,"",431029.0,5897000.0,0.0001,0.0001,3508,2567.0,0.59912,addition,4.0349049,Q1 2012,FINANCE,"","",10.9961
Neximmune inc,NEXI,"",361278.0,5896000.0,0.0001,0.0001,3509,155018.0,75.156598,addition,1.5965966,Q1 2021,HEALTH CARE,"","",17.8957
Fluent inc,FLNT,"",2008431.0,5884000.0,0.0001,0.0002,3510,100431.0,5.263679,addition,2.5622165,Q1 2016,INFORMATION TECHNOLOGY,"","",4.3645
Lifevantage corp,LFVN,"",800260.0,5882000.0,0.0001,0.0003,3511,-227329.0,-22.122561,reduction,5.7141633,Q4 2012,HEALTH CARE,"","",137.97
New york city reit  inc.,NYC,"",447896.0,5867000.0,0.0001,0.0,3512,433479.0,3006.721232,addition,4.6654205,Q1 2021,REAL ESTATE,"","",12.9552
Armstrong flooring inc,AFI,"",946118.0,5856000.0,0.0001,0.0001,3513,-176.0,-0.018599,reduction,4.3628333,Q2 2016,CONSUMER DISCRETIONARY,"","",16.05
X4 pharmaceuticals ord shs,XFOR,"",897641.0,5834000.0,0.0001,0.0002,3514,161039.0,21.862417,addition,N/A,Q1 2019, ,"","",
First savings financial group inc,FSFG,"",238734.0,5821000.0,0.0001,0.0002,3515,-52005.0,-17.887177,reduction,3.3506145,Q1 2013,FINANCE,"","",48.24
First community corp,FCCO,"",287920.0,5816000.0,0.0001,0.0002,3516,-22692.0,-7.305577,reduction,3.8187768,Q2 2016,FINANCE,"","",20.8
Abeona therapeutics inc,ABEO,"",3727536.0,5816000.0,0.0001,0.0002,3517,232228.0,6.643992,addition,3.6823530,Q2 2015,HEALTH CARE,"","",4.9263
Natural grocers by vitamin cottage  inc.,NGVC,"",541067.0,5811000.0,0.0001,0.0002,3518,28110.0,5.479992,addition,2.3920738,Q3 2012,CONSUMER STAPLES,"","",17.8409
Palatin technologies inc,PTN,"",9523632.0,5809000.0,0.0001,0.0002,3519,-1302.0,-0.013669,reduction,4.1398152,Q2 2003,HEALTH CARE,"","",0.75
Lubys inc.,LUB,"",1510041.0,5799000.0,0.0001,0.0001,3520,442238.0,41.415692,addition,4.8758390,Q2 2002,CONSUMER DISCRETIONARY,"","",3.5359
Mind medicine inc,MNMD,"",1668062.0,5755000.0,0.0001,,3521,1668062.0,,new,0.3686872,Q2 2021,HEALTH CARE,"","",3.45
Second sight medical products inc,EYES,"",1162357.0,5742000.0,0.0001,0.0001,3522,547326.0,88.991612,addition,2.9494598,Q2 2015,HEALTH CARE,"","",6.0617
Talaris therapeutics inc,TALS,"",390826.0,5741000.0,0.0001,,3523,390826.0,,new,0.9452598,Q2 2021,HEALTH CARE,"","",14.69
Inpixon,INPX,"",4900164.0,5734000.0,0.0001,0.0001,3524,1351714.0,38.093083,addition,4.3848822,Q3 2020,INFORMATION TECHNOLOGY,"","",1.1772
Zymeworks inc,ZYME,"",165214.0,5730000.0,0.0001,0.0001,3525,34969.0,26.848631,addition,0.3561742,Q2 2020,HEALTH CARE,"","",36.1957
Inozyme pharma  inc.,INZY,"",335286.0,5713000.0,0.0001,0.0002,3526,-5678.0,-1.665278,reduction,1.4170048,Q3 2020,HEALTH CARE,"","",25.48
Imedia brands inc,IMBI,"",708010.0,5699000.0,0.0001,0.0001,3527,233679.0,49.264965,addition,4.3212441,Q2 2002,CONSUMER DISCRETIONARY,"","",44.2474
Grupo aval acciones y valores s.a. adr,AVAL,"",998508.0,5692000.0,0.0001,0.0002,3528,0.0,0.0,,0.2793100,Q3 2014,FINANCE,"","",11.56
Bgsf inc,BGSF,"",459468.0,5670000.0,0.0001,0.0002,3529,-31489.0,-6.4138,reduction,4.4421628,Q2 2016,CONSUMER DISCRETIONARY,"","",17.55
Advanced emissions solutions inc,ADES,"",765003.0,5669000.0,0.0001,0.0001,3530,-124741.0,-14.019875,reduction,4.0576636,Q3 2016,MATERIALS,"","",8.91
Rain therapeutics inc,RAIN,"",364328.0,5661000.0,0.0001,,3531,364328.0,,new,1.3765500,Q2 2021,HEALTH CARE,"","",15.54
Burgerfi international inc,BFI,"",565076.0,5651000.0,0.0001,0.0002,3532,10535.0,1.899769,addition,3.1677370,Q1 2021,FINANCE,"","",15.3091
Tricida inc,TCDA,"",1307940.0,5650000.0,0.0001,0.0002,3533,-250401.0,-16.068434,reduction,2.5936404,Q3 2018,HEALTH CARE,"","",33.41
Fonar corp.,FONR,"",317076.0,5606000.0,0.0001,0.0002,3534,-47500.0,-13.028833,reduction,4.8377455,Q1 2013,HEALTH CARE,"","",15.26
Avinger inc,AVGR,"",4556540.0,5605000.0,0.0001,0.0002,3535,820377.0,21.957741,addition,4.7786015,Q1 2019,HEALTH CARE,"","",1.3776
Comstock mining inc,LODE,"",1533662.0,5567000.0,0.0001,0.0002,3536,-262046.0,-14.592907,reduction,2.8319590,Q1 2012,MATERIALS,"","",44.08
Nacco industries inc.  class a,NC,"",213410.0,5558000.0,0.0001,0.0002,3537,-21056.0,-8.980407,reduction,2.9847552,Q2 2002,INDUSTRIALS,"","",17.34
Level one bancorp inc,LEVL,"",203351.0,5552000.0,0.0001,0.0002,3538,-13660.0,-6.294612,reduction,2.6603934,Q2 2018,FINANCE,"","",20.59
Cyclerion therapeutics inc,CYCN,"",1423532.0,5552000.0,0.0001,0.0001,3539,-245607.0,-14.714592,reduction,3.2893691,Q2 2019,HEALTH CARE,"","",9.62
Franklin financial services corp,FRAF,"",173735.0,5550000.0,0.0001,0.0001,3540,12130.0,7.505956,addition,3.9309745,Q2 2019,FINANCE,"","",34.7398
Golar lng ltd,GLNG,"",417848.0,5537000.0,0.0001,0.0001,3541,29204.0,7.514332,addition,0.3800567,Q2 2007,ENERGY,"","",16.3101
Pctel inc,PCTI,"",844464.0,5530000.0,0.0001,0.0002,3542,-59329.0,-6.564446,reduction,4.6154648,Q2 2002,INFORMATION TECHNOLOGY,"","",6.34
Tela bio  inc,TELA,"",342280.0,5514000.0,0.0001,0.0002,3543,-77240.0,-18.411518,reduction,2.3651033,Q4 2019,HEALTH CARE,"","",14.44
Hawthorn bancshares inc,HWBK,"",240242.0,5508000.0,0.0001,0.0001,3544,-9796.0,-3.917804,reduction,3.6306923,Q2 2003,FINANCE,"","",21.2
Vislink technologies inc,VISL,"",1919975.0,5472000.0,0.0001,0.0002,3545,-277.0,-0.014425,reduction,4.2058976,Q3 2013,INFORMATION TECHNOLOGY,"","",907113.87
Agile therapeutics inc,AGRX,"",4104848.0,5460000.0,0.0001,0.0002,3546,-273669.0,-6.250267,reduction,4.4138168,Q4 2014,HEALTH CARE,"","",2.29
Greenwich lifesciences  inc.,GLSI,"",121418.0,5457000.0,0.0001,0.0001,3547,15157.0,14.263935,addition,0.9415313,Q4 2020,HEALTH CARE,"","",35.6632
Otonomy inc,OTIC,"",2442617.0,5448000.0,0.0001,0.0002,3548,224658.0,10.129042,addition,4.3093866,Q3 2014,HEALTH CARE,"","",6.2889
Exterran corp,EXTN,"",1143916.0,5444000.0,0.0001,0.0001,3549,-300724.0,-20.816536,reduction,3.5424264,Q4 2015,ENERGY,"","",18.84
Super league gaming inc,SLGG,"",1008660.0,5436000.0,0.0001,0.0002,3550,220115.0,27.91407,addition,4.3600915,Q2 2019,COMMUNICATIONS,"","",5.9451
Aersale corp,ASLE,"",434305.0,5412000.0,0.0001,0.0001,3551,36040.0,9.049251,addition,1.0112048,Q1 2021,FINANCE,"","",12.3041
Apollo endosurgery inc,APEN,"",667712.0,5409000.0,0.0001,0.0001,3552,129704.0,24.108192,addition,2.3262821,Q4 2017,HEALTH CARE,"","",5.2799
Huttig building products inc,HBP,"",935224.0,5405000.0,0.0001,0.0001,3553,20012.0,2.186597,addition,3.4132425,Q1 2016,INDUSTRIALS,"","",4.3512
Weyco group inc. (weyenberg shoe co.),WEYS,"",240856.0,5387000.0,0.0001,0.0002,3554,-65349.0,-21.341585,reduction,2.4795600,Q1 2003,INDUSTRIALS,"","",27.29
Manitex international inc,MNTX,"",738878.0,5387000.0,0.0001,0.0002,3555,-8762.0,-1.171954,reduction,3.7116995,Q3 2010,INDUSTRIALS,"","",8.46
Ocean power technologies inc,OPTT,"",2152492.0,5380000.0,0.0001,0.0,3556,1600313.0,289.817795,addition,4.1032665,Q4 2007,INDUSTRIALS,"","",2.5436
1847 goedeker inc.,GOED,"",1396281.0,5376000.0,0.0001,,3557,1396281.0,,new,1.3124504,Q2 2021,CONSUMER DISCRETIONARY,"","",3.85
Brainstorm cell therapeutics inc,BCLI,"",1412826.0,5369000.0,0.0001,0.0001,3558,82374.0,6.19143,addition,3.8900936,Q1 2015,HEALTH CARE,"","",4.7511
Lantronix inc,LTRX,"",1040393.0,5368000.0,0.0001,0.0001,3559,-28869.0,-2.6999,reduction,3.6007131,Q2 2002,INFORMATION TECHNOLOGY,"","",5.86
Battalion oil corp.,BATL,"",400045.0,5360000.0,0.0001,0.0001,3560,-57177.0,-12.505304,reduction,2.4590859,Q2 2020,ENERGY,"","",9.44
Vanguard s&p mid-cap 400 etf,IVOO,"",29447.0,5359000.0,0.0001,0.0001,3561,563.0,1.949176,addition,No Data,Q4 2020,FINANCE,"","",157.929
Lipocine inc,LPCN,"",3815348.0,5341000.0,0.0001,0.0001,3562,230794.0,6.438569,addition,4.3213500,Q3 2014,HEALTH CARE,"","",1.7382
Labstyle innovations corp,DRIO,"",249746.0,5335000.0,0.0001,0.0001,3563,139208.0,125.936782,addition,1.6067846,Q3 2020,INFORMATION TECHNOLOGY,"","",19.3683
Reading international inc. class a,RDI,"",765177.0,5333000.0,0.0001,0.0001,3564,0.0,0.0,,3.8014011,Q2 2002,CONSUMER DISCRETIONARY,"","",10.19
Hutchmed (china) ltd,HCM,"",135687.0,5328000.0,0.0001,0.0001,3565,-18041.0,-11.735663,reduction,0.0785121,Q4 2018,HEALTH CARE,"","",24.29
Axovant gene therapies ltd,SIOX,"",1948262.0,5319000.0,0.0001,0.0001,3566,920972.0,89.650634,addition,2.6709923,Q4 2020,HEALTH CARE,"","",2.7564
Eton pharmaceuticals inc,ETON,"",861540.0,5307000.0,0.0001,0.0001,3567,150681.0,21.197031,addition,3.5153970,Q1 2019,HEALTH CARE,"","",7.1254
First financial northwest inc,FFNW,"",349875.0,5300000.0,0.0001,0.0001,3568,0.0,0.0,,3.6694403,Q2 2008,FINANCE,"","",9.37
